Name,Price,Weight/Volume(ml/g),Protein per 100g,Source of Price,Carbon Footprint (g),Source of Footprint,Notes
Coca-Cola Original Taste 6x330ml,4,1980,0,https://www.sainsburys.co.uk/gol-ui/product/coca-cola/coca-cola-6x330ml,1020,"https://www.greenerpackage.com/metrics_standards/coke%E2%80%99s_carbon_footprints_are_revealed

https://www.telegraph.co.uk/business/2019/12/21/food-labels-include-carbon-footprint-first-time-plans-considered/

Coca-Cola estimates each of its 330ml Coca-Cola cans is responsible for 170g of carbon dioxide emissions.

170g * 6 =1,020",
Highland Spring Still Water 6 X 1.5 Ltrs,3,9000,0,https://www.tesco.com/groceries/en-GB/products/259910442,264,"44 * 6 
44g Co2 per 1.5Lites
https://tappwater.co/us/carbon-footprint-bottled-water/",
Tesco Pure Apple Juice 4 X 1 Litre,3,4000,0.1,https://www.tesco.com/groceries/en-GB/products/254859608,360,"90-111kg CO2e/1000 litres
https://link.springer.com/chapter/10.1007%2F978-94-007-1899-9_37

1000 lts = 1000000 ml
90kg  = 90,000

90,000 : 1000000 
9 : 100
9 /9 : 100 / 9 = 1 : 111.1

100 : 9
100/100: 9/100 = 0.09

1 ml: 0.09 g co2e

1 * 4000 : 0.09 * 4000 = 4000 : 360







orignal cals
90 / 1000 = 0.09 CO2e per liter
0.09 * 4 = 0.36 grams",
Cadbury Dairy Milk Chocolate Bar 110G,1,110,7.3,https://www.tesco.com/groceries/en-GB/products/284117451,378.4,"https://www.foodmanufacture.co.uk/Article/2008/02/11/Cadbury-furthers-carbon-footprint-debate

https://www.wri.org/blog/2015/08/how-much-rainforest-chocolate-bar

Cadbury estimates that 169g (6 ounces) of carbon dioxide equivalent are emitted into the atmosphere for each 49g (1.7 ounce) Dairy Milk chocolate bar

49g chocolate : 169g
49 : 169

49 /  49 : 169 / 49 = 1 : 3.44
1 : 3.44g co2e

1 * 110 : 3.44 * 110 = 110 : 378.4


Original cals
110 / 49 =2.24
169 * 2.24 = 378.56

",
Yorkshire 160 Teabags 500G,3.4,500,0.1,https://www.tesco.com/groceries/en-GB/products/254888470,8320,"https://steenbergs.co.uk/blog/whats-the-carbon-footprint-of-your-cuppa

48 g CO2 for black tea
+ 4 g CO2 for teabag
52

52 * 160 = 8,320",
Nescafe Azera Americano Instant Coffee 100G,5.49,100,0.1,https://www.tesco.com/groceries/en-GB/products/276731645,4400,"https://grist.org/living/ground-or-instant-coffee-flavor-aside-which-is-better-for-the-planet/

https://www.scotsman.com/news/uk-news/coffee-lovers-urged-give-filter-and-save-planet-instant-2507037

80 grams per cup

Makes 55 mugs

55 * 80 = 4,400",
Haagen-Dazs Salted Caramel Ice Cream 460Ml,2.5,460,4.1,https://www.tesco.com/groceries/en-GB/products/300111410,36248,"https://www.sciencedirect.com/science/article/pii/S0959652618332633#fig3

Villina preium best proxy As ice cram has villa flovoring

3.94 kg = 1kg of ice cream comsumed

400g haagen Dazs

1 : 3.94
real size: 400g
Scale Size = 101.52284 cm
https://goodcalculators.com/scale-conversion-calculator/


1 kg ice cream : 3.94 kg co2e
1000ml : 3940g
50 : 197

50/50 : 3940/50 = 1 : 78.8

1 *  460 : 78.8 * 460 = 460 : 36,248
",
Bonne Maman Strawberry Conserve 370G,2,370,0.4,https://www.tesco.com/groceries/en-GB/products/250782952,334.85,"370 g

Prepared with 50g of Strawberries per 100g, Total Sugar content: 60g per 100g

50 : 100g berries
100g  : 50g berries
100 / 50 : 50/50 = 2 : 1
2/2 : 1/2 = 1 : 0.5
1 * 370 : 0.5 * 370  = 370 : 185

185g strawberries

60 g suger : 100g content
3g sugar : 5g content
5g content : 3g sugar

5/5 : 3/5 = 1 : 0.6
1*370 : 0.6 * 370 = 222
222g sugar

kg CO2-eq./kg strawberries 0.91
1kg : 0.91kg
1000g : 910g
100g : 91g
91g berries : 100g co2e
91/91 : 100/91 = 1 : 1.09
1 * 185: 1.09 * 185= 185: 201.65

201.65g co2e from strawberries

0.6g of CO2 equivalent is produced for every gram of sugar made.

1g sugar : 0.6 co2e
1 * 222g : 0.6 * 222 = 222 : 133.2

133.2g from sugar

201.65g + 133.2g = 334.85g CO2e



orginal cals
370g/100g = 3.7
50 * 3.7= 185 g strawberries
60 * 3.7 = 222 g sugar

185 / 1000 = 0.185
kg CO2-eq./kg strawberries 0.91
1000g = 0.91kg
185 = 203.2 grams


https://saiplatform.org/uploads/Library/WG%20Fruit%20-%20ART%20Final%20Report.pdf",
Granulated Sugar 1Kg,0.65,1000,0,https://www.tesco.com/groceries/en-GB/products/252528422,600,"0.6g of CO2 equivalent is produced for every gram of sugar made.

0.6 * 1000 = 600



https://www.fwi.co.uk/arable/carbon-footprint-of-sugar-revealed",
Tesco Maris Piper Potatoes 2.5Kg,1.39,2500,1.8,https://www.tesco.com/groceries/en-GB/products/258423755,12872.5,"Potatoes	2.71 kg 
kgCO₂eq per 100g protein
2.71kg : 100g protien
2710g : 100g
100g : 2710g
100/100 : 2710:100 = 1g : 271g
1g protin : 271g co2e

1.8g protein per 100g
1.9g : 100g content
100g content : 1.9g protien
100 / 100 : 1.9 / 100 = 1 : 0.019
1 * 2500 : 0.019 * 2500 = 2500 : 47.5

47.5 protien
1g protin : 271g co2e
1 * 47.5 : 271 * 47.5 = 47.5 : 12,872.5 

12,872.5g CO2e


OG CALS
Potatoes	2.71 kg 
kgCO₂eq per 100g protein

1.8g protine per 100g
2500 / 100 = 25
1.8g * 25= 45g protine
45 / 100 = 0.45

2.71 * 0.45 = 1.2kg
https://ourworldindata.org/environmental-impacts-of-food#carbon-footprint-of-food-products =",
Tesco Tenderstem Broccoli 200G,2,200,8.8,https://www.tesco.com/groceries/en-GB/products/305255289,400,"New cals
2.0 CO2e to produce 1 kilogram
1000 : 2000
1 : 2
1 * 200g : 2 * 200g = 200 : 400g

400g co2e

https://www.shopconscious.org/b-ingredients/broccoli


OLD CALS
https://qz.com/1777399/by-calorie-broccoli-is-a-bigger-carbon-emitter-than-chicken/


Foods ranked by kilograms of CO2 emissions per 1,000 calories

Broccoli	6kg CO2e

26 cals per 100g 

26 * 2 = 52 cals

1000 cals : 6,000 CO2e
1 : 6
1 * 52 : 6 * 52 = 52 : 312
312 g co2e

",protein from here:https://www.calorieking.com/gb/en/foods/f/calories-in-fresh-or-dried-vegetables-tenderstem-broccoli-tips/KrXLOXePQDOgwdFb3XktHA
Tesco Mango 250G,2,250,0.7,https://www.tesco.com/groceries/en-GB/products/302987699,100,".4556 kg of CO2e per kg of mango

0.4 kg CO2e : 1 kg mango
400 : 1,000
1000g mango  : 400g co2e
5 : 2
5 / 5 : 2 / 5 = 1 : 0.4
1g mango : 0.4 co2e
1 * 250 : 0.4 * 250 = 250 : 100
100g co2e

OG CALS
0.4kg CO2e = 1kg mango 

0.4:1
250g mango  / 0.4 carbon = 635g carbon

https://www.mango.org/wp-content/uploads/2017/10/Sustainability_Exec_Summary_Eng.pdf",
Tesco Pure Sunflower Oil 3L,3,3000,0,https://www.tesco.com/groceries/en-GB/products/254918234,9900,"3.3 kg co2e : 1 kg oil 
1000ml : 3300g co2e
10 : 33
10/10 : 33/10 = 1 : 3.3
1g oil : 3.3g co2e
1 * 3000 : 3.3 * 3000 = 3000 : 9,900

9,900g co2e

OG CALS
3.3 kg CO2e to produce 1 kilogram
1kg = 1L

1/3.3
3 * 3.33 = 9.99 kg

https://www.thelifeimpact.com/s-ingredients/sunflower-oil",
Lurpak Slightly Salted Spreadable 500G,3.75,500,0.5,https://www.tesco.com/groceries/en-GB/products/253886894,4750,"GHG footprint (kg CO2e/500g***): 4.75



http://www.garethhuwdavies.com/business-2/butter-margarine-spread-breakfasts-carbon-footprint/

https://www.flora.com/en-gb/flora/healthy-living/sustainability/how-going-dairy-free-can-reduce-your-carbon-footprint",
Tesco Large Free Range Eggs 6 Pack,1.1,378,12.6,https://www.tesco.com/groceries/en-GB/products/250802567,1894.5,"4.21 kg co2e per 100g protien
100 : 4210
10 : 421
10/10 : 421/10 = 1 : 42.1
1 serving = 7.5g protien
7.5g *  6 servings = 45g
1 * 45 : 42.1 * 45 = 45 : 1,894.5

1,894.5 g co2e 

OG CALS
4.21 kg co2e per 100g protien

7.5 * 6 = 45g protirn

4.21kg/100g 

4.21 kg co2e / 45g protin = 10.6 co2e


https://ourworldindata.org/environmental-impacts-of-food#carbon-footprint-of-food-products","63g-73g for 1 large egg

63 * 6 = 378"
"Tesco British Whole Milk 2.272L, 4 Pints",1.09,2270,3.5,https://www.tesco.com/groceries/en-GB/products/254656399,7544.4,"100 : 9500
1 : 95
2272ml / 100ml = 22.72ml
22.72*3.5= 79.52g protien
1 * 79.52 : 95 * 79.52 = 79.52 : 7,544.4

7,544.4g co2e

OG CALS
9.50 kg co2e per 100g protien

2272 ml 
3.5g per 100ml

2272ml / 100ml = 22.72ml
22.72*3.5= 79.52g protien

1/95 
1 + 95 = 96

96 * 79.52 = 7,633.9g == 7.6339kg
7.6 kg co2e


100g/ 9.50kg",
Tesco Lightly Dusted Haddock Fillets 255G,3.5,255,15.3,https://www.tesco.com/groceries/en-GB/products/289553663,2297.1,"https://ourworldindata.org/grapher/ghg-per-protein-poore
fish(farmed): 5.98 kg per 100g protien

100 : 5890
10 : 589
10/10 : 589/10 = 1 : 58.9

15.3g protein : 100g content
100g content : 15.3g protein
100/100 : 15.3/100 = 1 : 0.153
1 * 255 : 0.153 * 255 = 255 : 39.0
39 grams of protein 

1 * 39 : 58.9 * 39 = 39 : 2,297.1

2,297.1 co2e

OG STATS
fish(farmed): 5.98 kg per 100g protien

15.3g per 100g protein

255g / 100g =2.5
15.3*2.5 = 38.25 grams protien

100:5980 > 5:299

38.2 / 5 = 7.64
299 * 7.64 = 2,284.3




",
Tesco 2 British Chicken Breast Fillets 300G,1.8,300,24,https://www.tesco.com/groceries/en-GB/products/285210252,4104,"Poultry Meat 5.70 kg per 100g protion

5700:100
100:5700
1 : 57 1g protien per 57g Co2e 

24.0g * 3 = 72g of protien

1 * 72g : 57g * 72g =
72g : 4,104g
72 protien to 4104g of Co2e






",
Tesco Beef Stir Fry Strips 357G,3,357,21.6,https://www.tesco.com/groceries/en-GB/products/292310169,3547.1,"beef 49.89 kg  co2e per 100g protien

21.6g protein per 100g

100g protein : 4989 co2e
100/100 : 4989/100 = 1 : 49.89

100g contents : 21.6g protein
100/100 : 21.6g /100 = 1 : 0.216
1 * 357 : 0.216 * 357 = 357 : 77.1
77.1g protein

1 * 77.1 : 49.89 * 77.1 = 77.1 : 3,547.1

3,547.179 co2e


",
Tesco Variety Pack Biscuits 700G,1,700,5.6,https://www.tesco.com/groceries/en-GB/products/301689876,,"https://www.sciencedirect.com/science/article/pii/S0959652619316154#appsec1

1.81 kg CO2 eq./kg) is found for chocolate-coated biscuits
1kg : 1.81kg
1000g : 1810g
100g : 181g
1g: 1.81g
1.81 * 350 = 633.5g co2e
vanilla cream biscuit 1.36 kg CO2 eq./kg


",
Mcvities Rich Tea Twin Pack 2 X 300G,1.99,600,7,https://www.tesco.com/groceries/en-GB/products/255352138,768,"https://www.sciencedirect.com/science/article/pii/S0959652619316154#appsec1

SSB: semi-sweet biscuit 1.28 co2e kg/ kg bisit

1 : 1.28
1000 : 1280
25 : 32
25/25 : 32/25 = 1g :  1.28g
1 * 600 : 1.28 * 600  = 600 : 768
768g co2e",
Hovis Soft White Medium Bread 800G,0.99,800,8.7,https://www.tesco.com/groceries/en-GB/products/256174499,977,"977 to 1,244 g CO2 eq. per loaf of bread

https://link.springer.com/article/10.1007/s11367-011-0271-0",
Laila Basmati Rice 10Kg,14.5,10000,8,https://www.tesco.com/groceries/en-GB/products/256171675,125000,"6.27 kg per 100g protein
100 : 6270
10 : 627
10/10 : 627/10 = 1 : 62.7
8 * 10,000 = 80,000
1 * 80,000 :  80,000 * 62.7
5,016,000 co2e of 10kg rice
5,016,000 / 10,000 = 501.6 1kg rice

REPLACE WITH SMALLER RICE ITEM


8g per 100g
8 : 100
2 : 25
1 : 12.5

10,000 : 125,000


8 * 10,000 = 80,000

",
Tilda Basmati Rice 1Kg,4.75,1000,7.8,https://www.tesco.com/groceries/en-GB/products/256502509,4890.6,"6.27 kg per 100g protein
100 : 6270
10 : 627
10/10 : 627/10 = 1 : 62.7

7.8 per 100g protien
7.8 * 10 = 78g in 1kg

1 * 78 : 62.7 * 78 = 78 : 4,890.6

4,890.6 co2e
",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,