Name,Price,Source of Price,Carbon Footprint (g),Source of Footprint
Coca-Cola Original Taste 6x330ml,4,https://www.sainsburys.co.uk/gol-ui/product/coca-cola/coca-cola-6x330ml,1020,"https://www.greenerpackage.com/metrics_standards/coke%E2%80%99s_carbon_footprints_are_revealed

https://www.telegraph.co.uk/business/2019/12/21/food-labels-include-carbon-footprint-first-time-plans-considered/

Coca-Cola estimates each of its 330ml Coca-Cola cans is responsible for 170g of carbon dioxide emissions.

170g * 6 =1,020"
Highland Spring Still Water 6 X 1.5 Ltrs,3,https://www.tesco.com/groceries/en-GB/products/259910442,264,"44 * 6 
44g Co2 per 1.5Lites
https://tappwater.co/us/carbon-footprint-bottled-water/"
Tesco Pure Apple Juice 4 X 1 Litre,3,https://www.tesco.com/groceries/en-GB/products/254859608,0.36,"90-111kg CO2e/1000 litres
https://link.springer.com/chapter/10.1007%2F978-94-007-1899-9_37
90 / 1000 = 0.09 CO2e per liter
0.09 * 4 = 0.36 grams"
Cadbury Dairy Milk Chocolate Bar 110G,1,https://www.tesco.com/groceries/en-GB/products/284117451,378.56,"https://www.foodmanufacture.co.uk/Article/2008/02/11/Cadbury-furthers-carbon-footprint-debate

https://www.wri.org/blog/2015/08/how-much-rainforest-chocolate-bar

110 / 49 =2.24
169 * 2.24 = 378.56

Cadbury estimates that 169g (6 ounces) of carbon dioxide equivalent are emitted into the atmosphere for each 49g (1.7 ounce)
"
Yorkshire 160 Teabags 500G,3.4,https://www.tesco.com/groceries/en-GB/products/254888470,8320,"https://steenbergs.co.uk/blog/whats-the-carbon-footprint-of-your-cuppa

48 g CO2 for black tea
+ 4 g CO2 for teabag
52

52 * 160 = 8,320"
Nescafe Azera Americano Instant Coffee 100G,5.49,https://www.tesco.com/groceries/en-GB/products/276731645,4400,"https://grist.org/living/ground-or-instant-coffee-flavor-aside-which-is-better-for-the-planet/

https://www.scotsman.com/news/uk-news/coffee-lovers-urged-give-filter-and-save-planet-instant-2507037

80 grams per cup

Makes 55 mugs

55 * 80 = 4,400"
Haagen-Dazs Salted Caramel Ice Cream 460Ml,2.5,https://www.tesco.com/groceries/en-GB/products/300111410,101.5,"https://www.sciencedirect.com/science/article/pii/S0959652618332633#fig3

Villina preium best proxy As ice cram has villa flovoring

3.94 kg = 1kg of ice cream comsumed

400g haagen Dazs

1 : 3.94
real size: 400g
Scale Size = 101.52284 cm
https://goodcalculators.com/scale-conversion-calculator/
"
Bonne Maman Strawberry Conserve 370G,2,https://www.tesco.com/groceries/en-GB/products/250782952,203.2,"370 g

Prepared with 50g of Strawberries per 100g, Total Sugar content: 60g per 100g

370g/100g = 3.7
50 * 3.7= 185 g strawberries
60 * 3.7 = 222 g sugar

185 / 1000 = 0.185
kg CO2-eq./kg strawberries 0.91
1000g = 0.91kg
185 = 203.2 grams


https://saiplatform.org/uploads/Library/WG%20Fruit%20-%20ART%20Final%20Report.pdf"
Granulated Sugar 1Kg,0.65,https://www.tesco.com/groceries/en-GB/products/252528422,600,"0.6g of CO2 equivalent is produced for every gram of sugar made.

0.6 * 1000 = 600



https://www.fwi.co.uk/arable/carbon-footprint-of-sugar-revealed"
Tesco Maris Piper Potatoes 2.5Kg,1.39,https://www.tesco.com/groceries/en-GB/products/258423755,1200,"Potatoes	2.71 kg 
kgCO₂eq per 100g protein

1.8g protine per 100g
2500 / 100 = 25
1.8g * 25= 45g protine
45 / 100 = 0.45

2.71 * 0.45 = 1.2kg
https://ourworldindata.org/environmental-impacts-of-food#carbon-footprint-of-food-products"
Tesco Fresh & Easy Mixed Vegetable 250G,1.5,https://www.tesco.com/groceries/en-GB/products/260291607,,"???
Carrot, Broccoli, Babycorn, *Fine Beans, *Mangetout, *Sugarsnap Peas.

Studies show that emissions from carrot production range from .3 to .6 kg CO2e/kg,"
Tesco Mango 250G,2,https://www.tesco.com/groceries/en-GB/products/302987699,625,".4556 kg of CO2e per kg of mango

0.4kg CO2e = 1kg mango 

0.4:1
250g mango  / 0.4 carbon = 635g carbon

https://www.mango.org/wp-content/uploads/2017/10/Sustainability_Exec_Summary_Eng.pdf"
Tesco Pure Sunflower Oil 3L,3,https://www.tesco.com/groceries/en-GB/products/254918234,9990,"3.3 kg CO2e to produce 1 kilogram
1kg = 1L

1/3.3
3 * 3.33 = 9.99 kg

https://www.thelifeimpact.com/s-ingredients/sunflower-oil"
Lurpak Slightly Salted Spreadable 500G,3.75,https://www.tesco.com/groceries/en-GB/products/253886894,4750,"GHG footprint (kg CO2e/500g***): 4.75



http://www.garethhuwdavies.com/business-2/butter-margarine-spread-breakfasts-carbon-footprint/

https://www.flora.com/en-gb/flora/healthy-living/sustainability/how-going-dairy-free-can-reduce-your-carbon-footprint"
Tesco Large Free Range Eggs 6 Pack,1.1,https://www.tesco.com/groceries/en-GB/products/250802567,10600,"4.21 kg co2e per 100g protien

7.5 * 6 = 45g protirn

4.21kg/100g 

4.21 kg co2e / 45g protin = 10.6 co2e


https://ourworldindata.org/environmental-impacts-of-food#carbon-footprint-of-food-products"
"Tesco British Whole Milk 2.272L, 4 Pints",1.09,https://www.tesco.com/groceries/en-GB/products/254656399,7600,"9.50 kg co2e per 100g protien

2272 ml 
3.5g per 100ml

2272ml / 100ml = 22.72ml
22.72*3.5= 79.52g protien

1/95 
1 + 95 = 96

96 * 79.52 = 7,633.9g == 7.6339kg
7.6 kg co2e


100g/ 9.50kg"
Tesco Lightly Dusted Haddock Fillets 255G,3.5,https://www.tesco.com/groceries/en-GB/products/289553663,2284.3,"https://ourworldindata.org/grapher/ghg-per-protein-poore

fish(farmed): 5.98 kg per 100g protien

15.3g per 100g protein

255g / 100g =2.5g
15.3*2.5 = 38.25 grams protien

100:5980 > 5:299

38.2 / 5 = 7.64
299 * 7.64 = 2,284.3




"
Tesco 2 British Chicken Breast Fillets 300G,1.8,https://www.tesco.com/groceries/en-GB/products/285210252,4104,"Poultry Meat 5.70 kg per 100g protion

5700:100
100:5700
1 : 57 1g protien per 57g Co2e 

24.0g * 3 = 72g of protien

1 * 72g : 57g * 72g =
72g : 4,104g
72 protien to 4104g of Co2e






"
Tesco Beef Stir Fry Strips 357G,3,https://www.tesco.com/groceries/en-GB/products/292310169,,"beef 49.89 kg per 100g protien

21.6g protein per 100g

21.6 : 100
27 : 125
27 / 125 = 4.62
1 : 4.62

357 * 4.62 = 1,649.3g protein





???"
Tesco Variety Pack Biscuits 700G,1,https://www.tesco.com/groceries/en-GB/products/301689876,,"https://www.sciencedirect.com/science/article/pii/S0959652619316154#appsec1

1.81 kg CO2 eq./kg) is found for chocolate-coated biscuits
1kg : 1.81kg
1000g : 1810g
100g : 181g
1g: 1.81g
1.81 * 350 = 633.5g co2e
vanilla cream biscuit 1.36 kg CO2 eq./kg


"
Hovis Soft White Medium Bread 800G,0.99,https://www.tesco.com/groceries/en-GB/products/256174499,977,"977 to 1,244 g CO2 eq. per loaf of bread

https://link.springer.com/article/10.1007/s11367-011-0271-0"
Laila Basmati Rice 10Kg,14.5,https://www.tesco.com/groceries/en-GB/products/256171675,125000,"6.27 kg per 100g protein

8g per 100g
8 : 100
2 : 25
1 : 12.5

10,000 : 125,000


8 * 10,000 = 80,000
6270 * 
"
,,,,